574;105;255;70;136;4
552;138;255;87;146;4
598;145;255;69;159;2
557;171;255;163;116;3
614;179;255;2;20;2
603;191;159;255;190;4
496;201;255;220;81;4
543;207;132;225;255;3
516;239;141;255;168;3
621;260;255;50;132;2
579;267;255;245;90;4
515;293;255;14;68;3
549;302;255;77;155;2
620;308;255;237;77;3
591;329;255;4;12;3
480;337;100;203;255;2
522;347;255;239;108;3
551;359;173;221;255;2
493;360;255;10;83;4
476;364;155;255;159;4
614;371;255;86;166;5
676;376;179;245;255;3
522;378;194;255;167;3
621;379;255;60;128;3
557;380;176;248;255;3
484;381;142;230;255;3
564;390;147;255;169;4
532;392;255;237;60;4
684;392;255;226;38;3
596;393;255;25;95;3
571;428;255;3;58;4
452;433;255;101;151;4
557;441;255;107;181;2
642;442;255;82;171;3
624;456;182;255;169;4
448;460;255;95;171;3
482;466;151;255;172;4
594;471;255;254;85;4
659;481;208;247;255;3
452;492;255;239;74;4
721;501;255;235;96;5
494;505;128;255;160;3
670;507;27;99;255;2
621;512;105;255;116;4
555;515;255;248;85;6
400;525;71;162;255;2
394;548;255;179;194;4
540;549;255;48;117;4
737;549;255;237;104;4
614;552;255;152;160;2
510;558;83;255;144;3
438;562;255;246;101;6
770;563;69;195;255;4
616;564;105;255;155;2
572;571;129;206;255;3
745;572;142;255;155;2
449;573;255;44;117;2
509;580;118;255;120;4
572;580;66;165;255;4
685;588;255;84;173;3
350;591;255;110;118;3
637;597;255;11;106;4
768;597;255;248;62;9
709;601;255;144;149;4
436;610;255;249;112;4
735;611;255;194;115;4
399;612;255;185;79;4
490;613;255;39;56;2
402;617;255;195;189;4
587;618;160;255;196;5
505;627;254;255;91;7
595;629;255;118;107;2
767;635;255;189;211;4
463;639;255;203;216;4
413;640;255;125;185;3
443;647;255;118;149;2
676;651;113;224;255;4
693;653;255;201;95;4
619;654;255;237;174;4
541;659;255;238;80;6
407;662;209;255;154;3
384;663;99;193;255;3
811;673;73;199;255;4
639;679;77;142;255;3
738;682;255;128;158;4
373;695;252;255;161;6
767;695;163;255;254;4
468;697;255;199;210;5
551;699;252;255;155;5
643;699;255;5;51;4
607;701;206;255;220;3
740;705;255;163;210;5
509;706;214;255;145;4
617;715;118;202;255;3
720;717;255;220;229;5
755;718;255;84;167;5
437;725;255;171;229;4
583;728;255;79;101;4
395;731;255;247;93;4
505;733;255;208;219;4
